idc;grad;idg;idm;idd;isg;ism;isd;Grad.;Mest.;Dout.;InstG;InstM;InstD;
371;443;897;397;35;329;11;Matematica;Matematica Aplicada;Engenharia de Sistemas e Computação;Universidad Pedagogica Experimental Libertador;Universidad Central Lisandro Alvarado;Universidade Federal do Rio de Janeiro;
372;463;464;899;19;1;1;Ciência da Computação;Ciências da Computação;Engenharia de Automação e Sistemas;Universidade Federal de Santa Maria;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1836;48;49;930;29;1;2;Engenharia Civil;Engenharia Civil;Engenharia e Tecnologia de Materiais;Universidade Federal do Rio Grande do Sul;Universidade Federal de Santa Catarina;Pontifícia Universidade Católica do Rio Grande d;
417;990;16;17;364;8;8;Engenharia Mecânica e de Automóveis;Engenharia Mecânica;Engenharia Mecânica;Instituto Militar de Engenharia;Universidade de São Paulo;Universidade de São Paulo;
1875;15;16;0;1;1;0;Engenharia Mecânica;Engenharia Mecânica;;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;;
437;150;120;127;378;378;10;Engenharia Elétrica;Engenharia Elétrica;Engenharia Elétrica;Universidade Federal de Itajubá;Universidade Federal de Itajubá;Universidade Estadual de Campinas;
1882;1031;49;50;381;1;1;ENGENHARIA CIVIL;Engenharia Civil;Engenharia Civil;UNIVERSIDADE FRANCISCO DE PAULA SANTANDER;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1940;639;16;425;1;1;1;Fisica;Engenharia Mecânica;Programa de Pós Graduação em Engenharia Mecânica;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1941;430;46;47;1;1;1;Física Bacharelado;Física;Física;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
509;48;49;50;222;1;1;Engenharia Civil;Engenharia Civil;Engenharia Civil;Universidade da Amazônia;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
1972;48;16;17;87;1;1;Engenharia Civil;Engenharia Mecânica;Engenharia Mecânica;Universidade Federal da Bahia;Universidade Federal de Santa Catarina;Universidade Federal de Santa Catarina;
